Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec,Request Date,Actual Ship Date,Order Date
"","","",Order,102,120,310768,10017008,41800,19,2025-07-17 00:00:00,ID010,"",2025-07-18 00:00:00,2025-06-30 00:00:00,2025-06-23 00:00:00
"","","",Order,102,120,310768,10017009,41800,19,2025-07-17 00:00:00,ID010,"",2025-07-18 00:00:00,2025-07-01 00:00:00,2025-06-23 00:00:00
"","","",Order,102,120,310768,10017010,41800,19,2025-07-17 00:00:00,ID010,"",2025-07-18 00:00:00,2025-07-01 00:00:00,2025-06-23 00:00:00
"","","",Order,102,120,310768,10017011,33000,15,2025-07-17 00:00:00,ID010,"",2025-07-18 00:00:00,2025-07-02 00:00:00,2025-06-23 00:00:00
ID002,"","",Order,101,120,310015,10017079,5456,1.9798602921164836,2025-07-07 00:00:00,ID010,9999A,2025-07-10 00:00:00,2025-06-30 00:00:00,2025-06-26 00:00:00
WA001,"","",Order,102,120,310018,10017239,55,0.019958269073754874,2025-07-02 00:00:00,WA001,9999A,2025-07-02 00:00:00,2025-07-02 00:00:00,2025-07-02 00:00:00
WA001,"","",Order,102,120,310015,231741-1-5-109,41336,14.999909280595118,2025-06-19 00:00:00,WA001,9999A,2025-06-18 00:00:00,2025-06-19 00:00:00,2025-06-10 00:00:00
WA003,"","",Order,101,120,310726,232128-1-13-139,220460,80,2025-07-28 00:00:00,WA007,3007DRYGUM,2025-08-01 00:00:00,,2025-06-26 00:00:00
WA003,"","",Order,101,120,310726,232128-1-13-140,220460,80,2025-07-28 00:00:00,WA007,3007DRYGUM,2025-08-01 00:00:00,,2025-06-26 00:00:00
WA003,"","",Order,101,120,310726,232128-1-13-141,220460,80,2025-07-28 00:00:00,WA007,3007DRYGUM,2025-08-01 00:00:00,,2025-06-26 00:00:00
WA003,"","",Order,101,120,310726,232128-1-13-142,220460,80,2025-07-28 00:00:00,WA007,3007DRYGUM,2025-08-01 00:00:00,,2025-06-26 00:00:00
WA003,"","",Order,101,120,310726,232128-1-13-143,220460,80,2025-07-28 00:00:00,WA007,3007DRYGUM,2025-08-01 00:00:00,,2025-06-26 00:00:00
WA003,"","",Order,101,120,310726,232128-1-13-144,220460,80,2025-07-28 00:00:00,WA007,3007DRYGUM,2025-08-01 00:00:00,,2025-06-26 00:00:00
WA003,"","",Order,101,120,310726,232128-1-13-145,220460,80,2025-07-28 00:00:00,WA007,3007DRYGUM,2025-08-01 00:00:00,,2025-06-26 00:00:00
WA003,"","",Order,101,120,310726,232128-1-13-146,220460,80,2025-07-28 00:00:00,WA007,3007DRYGUM,2025-08-01 00:00:00,,2025-06-26 00:00:00
WA003,"","",Order,101,120,310726,232128-1-13-147,220460,80,2025-07-28 00:00:00,WA007,3007DRYGUM,2025-08-01 00:00:00,,2025-06-26 00:00:00
WA003,"","",Order,101,120,310726,232128-1-13-148,220460,80,2025-07-28 00:00:00,WA007,3007DRYGUM,2025-08-01 00:00:00,,2025-06-26 00:00:00
WA003,"","",Order,101,120,310726,232128-1-13-149,110230,40,2025-07-28 00:00:00,WA007,3007DRYGUM,2025-08-01 00:00:00,,2025-06-26 00:00:00
WA003,"","",Order,101,120,310726,232128-1-8-132,275575,100,2025-07-15 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,2025-06-25 00:00:00,2025-05-29 00:00:00
WA003,"","",Order,101,120,310726,232128-1-8-133,55,0.019958269073754874,2025-07-15 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,,2025-05-29 00:00:00
WA003,"","",Order,101,120,310726,232128-1-8-133,220405,79.98004173092625,2025-07-15 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,2025-06-24 00:00:00,2025-05-29 00:00:00
WA003,"","",Order,101,120,310726,232128-1-8-134,55115,20,2025-07-15 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,2025-06-24 00:00:00,2025-05-29 00:00:00
WA003,"","",Order,101,120,310726,232128-1-8-134,110230,40,2025-07-15 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,2025-06-25 00:00:00,2025-05-29 00:00:00
WA003,"","",Order,101,120,310726,232128-1-8-134,55115,20,2025-07-15 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,2025-06-26 00:00:00,2025-05-29 00:00:00
WA003,"","",Order,101,120,310726,232128-1-8-135,55115,20,2025-07-18 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,,2025-05-29 00:00:00
WA003,"","",Order,101,120,310726,232128-1-8-135,165345,60,2025-07-18 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,2025-07-04 00:00:00,2025-05-29 00:00:00
WA003,"","",Order,101,120,310726,232128-1-8-136,220460,80,2025-07-21 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,,2025-05-29 00:00:00
WA003,"","",Order,101,120,310726,232128-1-8-137,220460,80,2025-07-21 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,,2025-05-29 00:00:00
WA003,"","",Order,101,120,310726,232128-1-8-138,220460,80,2025-07-13 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,,2025-05-30 00:00:00
WA003,"","",Order,101,120,310726,232130-1-10-126,165345,60,2025-07-29 00:00:00,WA007,3007DRYGUM,2025-08-01 00:00:00,,2025-06-26 00:00:00
WA003,"","",Order,101,120,310726,232130-1-10-127,110230,40,2025-07-29 00:00:00,WA007,3007DRYGUM,2025-08-01 00:00:00,,2025-06-26 00:00:00
WA003,"","",Order,101,120,310726,232130-1-9-123,55,0.019958269073754874,2025-07-11 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,,2025-05-27 00:00:00
WA003,"","",Order,101,120,310726,232130-1-9-123,55060,19.980041730926242,2025-07-11 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,2025-06-23 00:00:00,2025-05-27 00:00:00
WA003,"","",Order,101,120,310726,232130-1-9-124,55115,20,2025-07-15 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,2025-06-25 00:00:00,2025-05-27 00:00:00
WA003,"","",Order,101,120,310726,232130-1-9-125,55115,20,2025-07-20 00:00:00,WA007,3007DRYGUM,2025-07-15 00:00:00,,2025-05-27 00:00:00
ID002,"","",Order,102,120,310015,232146-1-6-126,110,0.03991653814750975,2025-06-25 00:00:00,ID010,9999A,2025-06-30 00:00:00,,2025-05-30 00:00:00
ID002,"","",Order,102,120,310015,232146-1-6-126,41226,14.959992742447609,2025-06-25 00:00:00,ID010,9999A,2025-06-30 00:00:00,2025-06-30 00:00:00,2025-05-30 00:00:00
ID002,"","",Order,102,120,310015,232146-1-6-127,41336,14.999909280595118,2025-06-25 00:00:00,ID010,9999A,2025-06-30 00:00:00,2025-06-30 00:00:00,2025-05-30 00:00:00
ID002,"","",Order,102,120,310015,232146-1-6-128,41336,14.999909280595118,2025-06-25 00:00:00,ID010,9999A,2025-06-30 00:00:00,2025-06-30 00:00:00,2025-05-30 00:00:00
ID002,"","",Order,102,120,310015,232146-1-6-129,41336,14.999909280595118,2025-06-25 00:00:00,ID010,9999A,2025-06-30 00:00:00,2025-06-30 00:00:00,2025-05-30 00:00:00
ID002,"","",Order,102,120,310015,232146-1-6-130,41336,14.999909280595118,2025-06-25 00:00:00,ID010,9999A,2025-06-30 00:00:00,2025-06-30 00:00:00,2025-05-30 00:00:00
ID002,"","",Order,102,120,310015,232146-1-7-131,41336,14.999909280595118,2025-07-26 00:00:00,ID010,9999A,2025-07-31 00:00:00,,2025-06-18 00:00:00
ID002,"","",Order,102,120,310015,232146-1-7-132,41336,14.999909280595118,2025-07-26 00:00:00,ID010,9999A,2025-07-31 00:00:00,,2025-06-18 00:00:00
ID002,"","",Order,102,120,310015,232146-1-7-133,41336,14.999909280595118,2025-07-26 00:00:00,ID010,9999A,2025-07-31 00:00:00,,2025-06-18 00:00:00
ID002,"","",Order,102,120,310015,232146-1-7-134,41336,14.999909280595118,2025-07-26 00:00:00,ID010,9999A,2025-07-31 00:00:00,,2025-06-18 00:00:00
ID002,"","",Order,102,120,310015,232146-1-7-135,41336,14.999909280595118,2025-07-26 00:00:00,ID010,9999A,2025-07-31 00:00:00,,2025-06-18 00:00:00
WA001,"","",Order,102,120,310002,232152-1-8-108,41336,14.999909280595118,2025-08-24 00:00:00,WA001,9999A,2025-08-28 00:00:00,,2025-05-21 00:00:00
WA001,"","",Order,102,120,310002,232152-1-9-109,41336,14.999909280595118,2025-09-21 00:00:00,WA001,9999A,2025-09-25 00:00:00,,2025-05-21 00:00:00
WA003,"","",Order,101,120,310726,232163-1-6-1181664,275575,100,2025-06-28 00:00:00,WA007,3025S,2025-07-01 00:00:00,,2024-11-21 00:00:00
WA003,"","",Order,101,120,310726,232163-1-7-1181652,275575,100,2025-06-24 00:00:00,WA007,3025S,2025-09-01 00:00:00,,2024-11-21 00:00:00
WA001,"","",Order,102,120,310018,232482-1-2-102,41336,14.999909280595118,2025-08-25 00:00:00,WA001,9999A,2025-08-25 00:00:00,,2025-06-17 00:00:00
WA001,"","",Order,102,120,310774,232483-1-3-111,41800,19,2025-06-06 00:00:00,WA001,9999A,2025-06-05 00:00:00,2025-06-09 00:00:00,2025-02-04 00:00:00
WA001,"","",Order,102,120,310774,232483-1-4-112,41800,19,2025-06-06 00:00:00,WA001,9999A,2025-06-02 00:00:00,2025-06-06 00:00:00,2025-02-04 00:00:00
WA001,"","",Order,102,120,310774,232483-1-4-113,41800,19,2025-06-09 00:00:00,WA001,9999A,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-02-04 00:00:00
WA001,"","",Order,102,120,310774,232483-1-4-114,41800,19,2025-06-11 00:00:00,WA001,9999A,2025-06-11 00:00:00,2025-06-11 00:00:00,2025-02-04 00:00:00
WA001,"","",Order,102,120,310774,232483-1-4-115,41800,19,2025-06-10 00:00:00,WA001,9999A,2025-06-16 00:00:00,2025-06-10 00:00:00,2025-02-04 00:00:00
WA001,"","",Order,102,120,310774,232483-1-4-116,41800,19,2025-06-24 00:00:00,WA001,9999A,2025-06-23 00:00:00,2025-06-24 00:00:00,2025-02-04 00:00:00
WA001,"","",Order,102,120,310774,232483-1-4-117,41800,19,2025-06-25 00:00:00,WA001,9999A,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-02-04 00:00:00
WA001,"","",Order,102,120,310774,232483-1-4-118,41800,19,2025-06-23 00:00:00,WA001,9999A,2025-06-30 00:00:00,2025-06-23 00:00:00,2025-02-04 00:00:00
WA001,"","",Order,102,120,310774,232483-1-5-119,41800,19,2025-07-09 00:00:00,WA001,9999A,2025-07-09 00:00:00,,2025-02-04 00:00:00
WA001,"","",Order,102,120,310774,232483-1-5-120,41800,19,2025-07-08 00:00:00,WA001,9999A,2025-07-14 00:00:00,,2025-02-04 00:00:00
WA001,"","",Order,102,120,310774,232483-1-5-121,41800,19,2025-07-21 00:00:00,WA001,9999A,2025-07-21 00:00:00,,2025-02-04 00:00:00
WA001,"","",Order,102,120,310774,232483-1-5-122,41800,19,2025-07-23 00:00:00,WA001,9999A,2025-07-23 00:00:00,,2025-02-04 00:00:00
WA001,"","",Order,102,120,310774,232483-1-5-123,41800,19,2025-07-28 00:00:00,WA001,9999A,2025-07-28 00:00:00,,2025-02-04 00:00:00
WA001,"","",Order,102,120,310774,232483-1-6-124,41800,19,2025-08-04 00:00:00,WA001,9999A,2025-08-04 00:00:00,,2025-02-04 00:00:00
WA001,"","",Order,102,120,310774,232483-1-6-125,41800,19,2025-08-05 00:00:00,WA001,9999A,2025-08-05 00:00:00,,2025-02-04 00:00:00
WA001,"","",Order,102,120,310002,232487-1-2-108,41336,14.999909280595118,2025-06-04 00:00:00,WA001,9999A,2025-06-02 00:00:00,2025-06-04 00:00:00,2025-04-07 00:00:00
WA001,"","",Order,102,120,310002,232487-1-2-109,41336,14.999909280595118,2025-06-09 00:00:00,WA001,9999A,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-04-07 00:00:00
WA001,"","",Order,102,120,310002,232487-1-2-110,41336,14.999909280595118,2025-06-09 00:00:00,WA001,9999A,2025-06-16 00:00:00,2025-06-09 00:00:00,2025-04-07 00:00:00
WA001,"","",Order,102,120,310002,232487-1-3-111,41336,14.999909280595118,2025-07-02 00:00:00,WA001,9999A,2025-07-07 00:00:00,2025-07-02 00:00:00,2025-06-02 00:00:00
WA001,"","",Order,102,120,310002,232487-1-3-112,41336,14.999909280595118,2025-08-26 00:00:00,WA001,9999A,2025-08-25 00:00:00,,2025-06-17 00:00:00
WA001,"","",Order,102,120,310002,232487-1-3-113,41336,14.999909280595118,2025-08-12 00:00:00,WA001,9999A,2025-08-11 00:00:00,,2025-06-17 00:00:00
WA001,"","",Order,102,120,310002,232487-1-3-114,41336,14.999909280595118,2025-09-09 00:00:00,WA001,9999A,2025-09-08 00:00:00,,2025-06-17 00:00:00
WA001,"","",Order,102,120,310002,232487-1-3-115,41336,14.999909280595118,2025-09-12 00:00:00,WA001,9999A,2025-09-11 00:00:00,,2025-06-17 00:00:00
WA001,"","",Order,102,120,310002,232487-1-4-116,41336,14.999909280595118,2025-09-01 00:00:00,WA001,9999A,2025-09-01 00:00:00,,2025-06-23 00:00:00
WA001,"","",Order,102,120,310002,232487-1-4-117,41336,14.999909280595118,2025-09-30 00:00:00,WA001,9999A,2025-09-30 00:00:00,,2025-06-23 00:00:00
ID002,WA001,"",Order,101,120,310015,232501-1-7-125,41336,14.999909280595118,2025-07-02 00:00:00,ID010,9999E,2025-07-01 00:00:00,,2025-06-16 00:00:00
ID002,WA001,"",Order,101,120,310015,232501-1-7-126,41336,14.999909280595118,2025-06-27 00:00:00,ID010,9999E,2025-07-01 00:00:00,,2025-06-16 00:00:00
ID002,WA001,"",Order,101,120,310015,232501-1-7-127,41336,14.999909280595118,2025-06-27 00:00:00,ID010,9999E,2025-07-01 00:00:00,,2025-06-16 00:00:00
ID002,WA001,"",Order,101,120,310015,232501-1-7-128,41336,14.999909280595118,2025-06-27 00:00:00,ID010,9999E,2025-07-01 00:00:00,,2025-06-16 00:00:00
ID002,WA001,"",Order,101,120,310015,232501-1-8-129,41336,14.999909280595118,2025-08-02 00:00:00,ID010,9999E,2025-08-01 00:00:00,,2025-06-16 00:00:00
ID002,WA001,"",Order,101,120,310015,232501-1-8-130,41336,14.999909280595118,2025-07-28 00:00:00,ID010,9999E,2025-08-01 00:00:00,,2025-06-16 00:00:00
ID002,WA001,"",Order,101,120,310015,232501-1-8-131,41336,14.999909280595118,2025-07-28 00:00:00,ID010,9999E,2025-08-01 00:00:00,,2025-06-16 00:00:00
ID002,WA001,"",Order,101,120,310015,232501-1-8-132,41336,14.999909280595118,2025-07-28 00:00:00,ID010,9999E,2025-08-01 00:00:00,,2025-06-16 00:00:00
ID002,WA001,"",Order,101,120,310015,232501-1-9-133,41336,14.999909280595118,2025-09-02 00:00:00,ID010,9999E,2025-09-01 00:00:00,,2025-06-16 00:00:00
ID002,WA001,"",Order,101,120,310015,232501-1-9-134,41336,14.999909280595118,2025-09-02 00:00:00,ID010,9999E,2025-09-01 00:00:00,,2025-06-16 00:00:00
ID002,WA001,"",Order,101,120,310015,232501-1-9-135,41336,14.999909280595118,2025-09-02 00:00:00,ID010,9999E,2025-09-01 00:00:00,,2025-06-16 00:00:00
ID002,WA001,"",Order,101,120,310015,232501-1-9-136,41336,14.999909280595118,2025-09-02 00:00:00,ID010,9999E,2025-09-01 00:00:00,,2025-06-16 00:00:00
ID002,"","",Order,101,120,310768,232513-1-3-115,44000,20,2025-08-10 00:00:00,ID002,3200A,2025-08-12 00:00:00,,2025-06-09 00:00:00
ID002,"","",Order,101,120,310768,232513-1-5-113,44000,20,2025-06-03 00:00:00,ID010,3200A,2025-06-05 00:00:00,2025-06-03 00:00:00,2025-04-23 00:00:00
ID002,"","",Order,101,120,310768,232513-1-5-114,44000,20,2025-06-03 00:00:00,ID010,9999A,2025-06-02 00:00:00,2025-06-03 00:00:00,2025-04-23 00:00:00
ID002,"","",Order,101,120,310768,232513-1-6-117,44000,20,2025-09-14 00:00:00,ID002,3200A,2025-09-16 00:00:00,,2025-06-23 00:00:00
ID002,"","",Order,101,120,310768,232513-1-9-116,44000,20,2025-08-10 00:00:00,ID002,3200A,2025-08-12 00:00:00,,2025-06-09 00:00:00
ID002,WA001,"",Order,102,120,310015,232630-1-2-108,661,0.23986210650458134,2025-06-28 00:00:00,TX001,9999E,2025-06-30 00:00:00,,2025-05-19 00:00:00
ID002,WA001,"",Order,102,120,310015,232630-1-2-108,57209,20.759865735280776,2025-06-28 00:00:00,TX001,9999E,2025-06-30 00:00:00,2025-05-29 00:00:00,2025-05-19 00:00:00
ID002,WA001,"",Order,102,120,310015,232630-1-2-109,165,0.05987480722126462,2025-06-28 00:00:00,TX001,9999E,2025-06-30 00:00:00,,2025-05-19 00:00:00
ID002,WA001,"",Order,102,120,310015,232630-1-2-109,57705,20.939853034564095,2025-06-28 00:00:00,TX001,9999E,2025-06-30 00:00:00,2025-06-02 00:00:00,2025-05-19 00:00:00
ID002,WA001,"",Order,102,120,310015,232630-1-2-110,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999E,2025-06-30 00:00:00,2025-05-29 00:00:00,2025-05-19 00:00:00
ID002,WA001,"",Order,102,120,310015,232630-1-3-111,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999E,2025-06-30 00:00:00,2025-06-02 00:00:00,2025-05-19 00:00:00
ID002,WA001,"",Order,102,120,310015,232630-1-3-112,165,0.05987480722126462,2025-06-28 00:00:00,TX001,9999A,2025-06-30 00:00:00,,2025-06-23 00:00:00
ID002,WA001,"",Order,102,120,310015,232630-1-3-112,57705,20.939853034564095,2025-06-28 00:00:00,TX001,9999A,2025-06-30 00:00:00,2025-07-01 00:00:00,2025-06-23 00:00:00
ID002,WA001,"",Order,102,120,310015,232630-1-3-113,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999A,2025-06-30 00:00:00,,2025-06-23 00:00:00
ID002,WA001,"",Order,102,120,310015,232630-1-3-114,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999A,2025-06-30 00:00:00,,2025-06-23 00:00:00
ID002,WA001,"",Order,102,120,310015,232630-1-3-115,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999A,2025-06-30 00:00:00,,2025-06-23 00:00:00
WA002,"","",Order,101,120,310726,232665-1-1-102,55,0.019958269073754874,2025-06-30 00:00:00,WA007,3035A,2025-07-01 00:00:00,,2025-04-24 00:00:00
WA002,"","",Order,101,120,310726,232665-1-1-102,330635,119.98004173092625,2025-06-30 00:00:00,WA007,3035A,2025-07-01 00:00:00,2025-06-23 00:00:00,2025-04-24 00:00:00
WA002,"","",Order,101,120,310726,232665-1-1-102,165345,60,2025-06-30 00:00:00,WA007,3035A,2025-07-01 00:00:00,2025-06-24 00:00:00,2025-04-24 00:00:00
WA002,"","",Order,101,120,310726,232665-1-1-102,55115,20,2025-06-30 00:00:00,WA007,3035A,2025-07-01 00:00:00,2025-06-25 00:00:00,2025-04-24 00:00:00
WA002,"","",Order,101,120,310726,232666-1-1-101,551150,200,2025-07-25 00:00:00,WA007,3035A,2025-08-01 00:00:00,,2025-05-13 00:00:00
ID002,"","",Order,102,120,310015,232677-1-2-104,41336,14.999909280595118,2025-06-23 00:00:00,ID010,3117A,2025-06-27 00:00:00,2025-06-23 00:00:00,2025-06-17 00:00:00
ID002,"","",Order,102,120,310015,232677-1-3-105,41336,14.999909280595118,2025-08-17 00:00:00,ID010,3117A,2025-08-18 00:00:00,,2025-06-23 00:00:00
ID002,"","",Order,102,120,310015,232701-1-6-121,41336,14.999909280595118,2025-06-04 00:00:00,ID010,9999A,2025-06-08 00:00:00,2025-06-06 00:00:00,2025-04-25 00:00:00
ID002,"","",Order,102,120,310015,232701-1-6-122,41336,14.999909280595118,2025-06-11 00:00:00,ID010,9999A,2025-06-15 00:00:00,2025-06-12 00:00:00,2025-04-25 00:00:00
ID002,"","",Order,102,120,310015,232701-1-6-123,55,0.019958269073754874,2025-05-28 00:00:00,ID010,9999A,2025-06-09 00:00:00,,2025-04-25 00:00:00
ID002,"","",Order,102,120,310015,232701-1-6-123,41281,14.979951011521363,2025-05-28 00:00:00,ID010,9999A,2025-06-09 00:00:00,2025-06-20 00:00:00,2025-04-25 00:00:00
ID002,"","",Order,102,120,310015,232701-1-6-124,55,0.019958269073754874,2025-05-28 00:00:00,ID010,9999A,2025-06-16 00:00:00,,2025-04-25 00:00:00
ID002,"","",Order,102,120,310015,232701-1-6-124,41281,14.979951011521363,2025-05-28 00:00:00,ID010,9999A,2025-06-16 00:00:00,2025-06-27 00:00:00,2025-04-25 00:00:00
ID002,"","",Order,102,120,310015,232701-1-7-125,41336,14.999909280595118,2025-06-19 00:00:00,ID010,9999A,2025-07-07 00:00:00,,2025-05-16 00:00:00
ID002,"","",Order,102,120,310015,232701-1-7-126,41336,14.999909280595118,2025-07-09 00:00:00,ID010,9999A,2025-07-14 00:00:00,,2025-05-16 00:00:00
ID002,"","",Order,102,120,310015,232701-1-7-127,41336,14.999909280595118,2025-07-16 00:00:00,ID010,9999A,2025-07-21 00:00:00,,2025-05-16 00:00:00
ID002,"","",Order,102,120,310015,232701-1-7-128,41336,14.999909280595118,2025-07-23 00:00:00,ID010,9999A,2025-07-28 00:00:00,,2025-05-16 00:00:00
ID002,"","",Order,102,120,310015,232701-1-8-129,41336,14.999909280595118,2025-07-17 00:00:00,ID010,9999A,2025-07-21 00:00:00,,2025-06-16 00:00:00
ID002,"","",Order,102,120,310015,232701-1-8-130,41336,14.999909280595118,2025-08-12 00:00:00,ID010,9999A,2025-08-11 00:00:00,,2025-06-16 00:00:00
ID002,"","",Order,102,120,310015,232701-1-8-131,41336,14.999909280595118,2025-08-19 00:00:00,ID010,9999A,2025-08-18 00:00:00,,2025-06-16 00:00:00
ID002,"","",Order,102,120,310015,232701-1-8-132,41336,14.999909280595118,2025-08-26 00:00:00,ID010,9999A,2025-08-25 00:00:00,,2025-06-16 00:00:00
ID002,"","",Order,102,120,310015,232701-1-8-133,41336,14.999909280595118,2025-09-02 00:00:00,ID010,9999A,2025-09-01 00:00:00,,2025-06-16 00:00:00
ID002,"","",Order,102,120,310015,232701-1-8-134,41336,14.999909280595118,2025-09-09 00:00:00,ID010,9999A,2025-09-08 00:00:00,,2025-06-16 00:00:00
WA001,"","",Order,102,120,310015,232743-1-6-111,41336,14.999909280595118,2025-06-05 00:00:00,WA001,9999A,2025-06-05 00:00:00,2025-06-05 00:00:00,2025-05-22 00:00:00
WA001,"","",Order,102,120,310015,232743-1-6-112,41336,14.999909280595118,2025-06-17 00:00:00,WA001,9999A,2025-06-17 00:00:00,2025-06-17 00:00:00,2025-05-23 00:00:00
WA001,"","",Order,102,120,310015,232743-1-7-113,41336,14.999909280595118,2025-06-24 00:00:00,WA001,9999A,2025-06-24 00:00:00,2025-06-24 00:00:00,2025-06-04 00:00:00
WA001,"","",Order,102,120,310015,232743-1-7-114,41336,14.999909280595118,2025-07-08 00:00:00,WA001,9999A,2025-07-08 00:00:00,,2025-06-26 00:00:00
ID002,WA001,"",Order,102,120,310015,232807-1-3-165,55115,20,2025-07-01 00:00:00,MEX002,9999A,2025-06-30 00:00:00,2025-06-17 00:00:00,2025-06-05 00:00:00
ID002,WA001,"",Order,102,120,310015,232807-1-3-166,55115,20,2025-07-01 00:00:00,MEX002,9999A,2025-06-30 00:00:00,2025-06-18 00:00:00,2025-06-05 00:00:00
ID002,WA001,"",Order,102,120,310015,232807-1-3-167,55115,20,2025-07-01 00:00:00,MEX002,9999A,2025-06-30 00:00:00,2025-06-18 00:00:00,2025-06-05 00:00:00
ID002,WA001,"",Order,102,120,310015,232807-1-3-168,55115,20,2025-07-01 00:00:00,MEX002,9999A,2025-06-30 00:00:00,2025-06-19 00:00:00,2025-06-05 00:00:00
ID002,WA001,"",Order,102,120,310015,232807-1-3-169,55115,20,2025-07-01 00:00:00,MEX002,9999A,2025-06-30 00:00:00,2025-06-19 00:00:00,2025-06-05 00:00:00
ID002,WA001,"",Order,102,120,310015,232807-1-3-170,55115,20,2025-07-01 00:00:00,MEX002,9999A,2025-06-30 00:00:00,2025-06-23 00:00:00,2025-06-05 00:00:00
ID002,WA001,"",Order,102,120,310015,232807-1-3-171,55115,20,2025-07-01 00:00:00,MEX002,9999A,2025-06-30 00:00:00,2025-06-23 00:00:00,2025-06-05 00:00:00
ID002,WA001,"",Order,102,120,310015,232807-1-3-172,55115,20,2025-07-01 00:00:00,MEX002,9999A,2025-06-30 00:00:00,2025-06-24 00:00:00,2025-06-05 00:00:00
ID002,WA001,"",Order,102,120,310015,232807-1-3-173,55115,20,2025-07-01 00:00:00,MEX002,9999A,2025-06-30 00:00:00,2025-06-24 00:00:00,2025-06-05 00:00:00
ID002,WA001,"",Order,102,120,310015,232807-1-3-174,55115,20,2025-07-01 00:00:00,MEX002,9999A,2025-06-30 00:00:00,2025-06-24 00:00:00,2025-06-05 00:00:00
ID002,WA001,"",Order,102,120,310015,232807-1-3-175,55115,20,2025-07-01 00:00:00,MEX002,9999A,2025-06-30 00:00:00,2025-06-24 00:00:00,2025-06-05 00:00:00
ID002,WA001,"",Order,102,120,310015,232807-1-3-176,55115,20,2025-07-01 00:00:00,MEX002,9999A,2025-06-30 00:00:00,2025-06-24 00:00:00,2025-06-05 00:00:00
