Order#,Ship Date,Demand Type,Item#,Approved Plant 1,Approved Plant 2,Approved Plant 3,Grade,Spec,Order Date,Sum of Ordered Pallets,tewst
233063-1-1-107,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/10/2025 0:00,20.93985303,#N/A
233063-1-1-108,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/10/2025 0:00,20.98013245,#N/A
233063-1-1-109,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/10/2025 0:00,20.96017418,#N/A
233063-1-1-110,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/10/2025 0:00,20.96017418,#N/A
233063-1-1-111,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/10/2025 0:00,20.8999365,#N/A
233063-1-1-112,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/10/2025 0:00,20.93985303,#N/A
233064-1-1,4/1/2025 0:00,Contract,310726,WA002,,,102,9999E,,0.060000544,#N/A
233071-1-1-101,4/1/2025 0:00,Order,310086,ID002,,,102,3139A,3/12/2025 0:00,19,#N/A
233071-1-1-102,4/1/2025 0:00,Order,310086,ID002,,,102,3139A,3/12/2025 0:00,19,#N/A
233071-1-1-103,4/1/2025 0:00,Order,310086,ID002,,,102,3139A,3/12/2025 0:00,19,#N/A
233077-1-1,4/1/2025 0:00,Contract,310726,WA003,,,102,9999E,,1.540013971,#N/A
233078-1-1-101,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/13/2025 0:00,20,#N/A
233078-1-1-102,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/13/2025 0:00,20,#N/A
233078-1-1-103,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/13/2025 0:00,20,#N/A
233078-1-1-104,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/13/2025 0:00,20,#N/A
233097-1-1-101,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233097-1-1-102,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233097-1-1-103,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233097-1-1-104,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233097-1-1-105,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233097-1-1-106,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233097-1-1-107,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233097-1-1-108,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233097-1-1-109,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233097-1-1-110,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233097-1-1-111,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233097-1-1-112,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233097-1-1-113,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233097-1-1-114,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233097-1-1-115,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/20/2025 0:00,16,#N/A
233099-1-1-101,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/18/2025 0:00,20,#N/A
233099-1-1-102,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/18/2025 0:00,20,#N/A
233099-1-1-103,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/18/2025 0:00,20,#N/A
233099-1-1-104,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/18/2025 0:00,20,#N/A
233099-1-1-105,4/1/2025 0:00,Order,310015,ID002,WA001,,102,9999A,3/18/2025 0:00,20,#N/A
233101-1-1-101,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/14/2025 0:00,20.66007439,#N/A
233101-1-1-102,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/14/2025 0:00,20.41984941,#N/A
233101-1-1-103,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,3/14/2025 0:00,20.75986574,#N/A
233103-1-1-101,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/17/2025 0:00,14.99990928,#N/A
233115-1-1,4/1/2025 0:00,Contract,310726,WA003,,,102,9999E,,0.500004536,#N/A
233140-1-2-111,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/21/2025 0:00,14.99990928,#N/A
233140-1-2-112,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/21/2025 0:00,14.99990928,#N/A
233140-1-2-113,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/21/2025 0:00,14.99990928,#N/A
233140-1-2-114,4/1/2025 0:00,Order,310015,WA001,,,102,9999A,3/21/2025 0:00,14.99990928,#N/A
233273-1-1-101,4/1/2025 0:00,Order,310015,ID002,,,102,9999A,4/8/2025 0:00,0.179987299,#N/A
10014745,4/2/2025 0:00,Order,310015,WA003,,,102,9999A,4/1/2025 0:00,14.99990928,#N/A
232163-1-4-1181663,4/2/2025 0:00,Order,310726,WA003,,,101,3025S,11/21/2024 0:00,99.60010886,#N/A
232501-1-4-113,4/2/2025 0:00,Order,310015,ID002,WA001,,102,9999E,3/20/2025 0:00,14.97995101,#N/A
232501-1-4-114,4/2/2025 0:00,Order,310015,ID002,WA001,,102,9999E,3/20/2025 0:00,14.99990928,#N/A
232501-1-4-115,4/2/2025 0:00,Order,310015,ID002,WA001,,102,9999E,3/20/2025 0:00,14.99990928,#N/A
232501-1-4-116,4/2/2025 0:00,Order,310015,ID002,WA001,,102,9999E,3/20/2025 0:00,14.99990928,#N/A
232800-1-2-107,4/2/2025 0:00,Order,310726,WA002,,,102,9999E,2/20/2025 0:00,60,#N/A
232876-1-1-101,4/2/2025 0:00,Order,310724,WA002,,,102,9999E,2/27/2025 0:00,159.9800417,#N/A
232876-1-1-102,4/2/2025 0:00,Order,310724,WA002,,,102,9999E,2/27/2025 0:00,139.9800417,#N/A
232909-1-1-101,4/2/2025 0:00,Order,310002,WA001,,,102,9999A,2/12/2025 0:00,80,#N/A
232911-1-1-101,4/2/2025 0:00,Order,310002,WA001,,,102,9999A,2/12/2025 0:00,79.98004173,#N/A
232936-1-2-102,4/2/2025 0:00,Order,310724,WA002,WA003,,101,9999E,2/21/2025 0:00,60,#N/A
232952-1-1-102,4/2/2025 0:00,Order,310724,WA002,,,102,9999E,3/5/2025 0:00,79.98004173,#N/A
232961-1-1-101,4/2/2025 0:00,Order,310726,WA002,,,102,9999E,3/5/2025 0:00,39.49995464,#N/A
232970-1-1-101,4/2/2025 0:00,Order,310726,WA002,WA003,,102,9999A,3/20/2025 0:00,19.98004173,#N/A
232970-1-2-102,4/2/2025 0:00,Order,310726,WA002,WA003,,102,9999A,3/20/2025 0:00,20,#N/A
232985-1-1-101,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-102,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-103,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-104,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-105,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-106,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-107,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-108,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-109,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-110,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-111,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-112,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-113,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-114,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-115,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-116,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-117,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-118,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-119,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-120,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.79996371,#N/A
232985-1-1-121,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
232985-1-1-122,4/2/2025 0:00,Order,310015,WA002,,,102,9999A,3/3/2025 0:00,14.99990928,#N/A
233016-1-1-101,4/2/2025 0:00,Order,310018,WA001,,,102,9999A,3/25/2025 0:00,1.000090719,#N/A
233017-1-1-101,4/2/2025 0:00,Order,310002,WA001,,,102,9999A,3/5/2025 0:00,14.99990928,#N/A
233055-1-1-102,4/2/2025 0:00,Order,310002,WA001,,,102,9999A,3/31/2025 0:00,159.9800417,#N/A
233140-1-2-115,4/2/2025 0:00,Order,310015,WA001,,,102,9999A,3/21/2025 0:00,14.99990928,#N/A
233140-1-2-117,4/2/2025 0:00,Order,310015,WA001,,,102,9999A,3/21/2025 0:00,14.99990928,#N/A
233140-1-2-118,4/2/2025 0:00,Order,310015,WA001,,,102,9999A,3/21/2025 0:00,14.99990928,#N/A
233159-1-1-102,4/2/2025 0:00,Order,310724,WA002,,,101,9999E,3/27/2025 0:00,20,#N/A
233140-1-2-116,4/3/2025 0:00,Order,310015,WA001,,,102,9999A,3/21/2025 0:00,14.99990928,#N/A
233140-1-2-120,4/3/2025 0:00,Order,310015,WA001,,,102,9999A,3/21/2025 0:00,14.99990928,#N/A
233156-1-1-101,4/3/2025 0:00,Order,310015,WA001,,,102,9999A,3/25/2025 0:00,14.99990928,#N/A
233140-1-2-119,4/4/2025 0:00,Order,310015,WA001,,,102,9999A,3/21/2025 0:00,14.99990928,#N/A
233148-1-1-102,4/4/2025 0:00,Order,310015,WA003,,,102,9999A,3/24/2025 0:00,0.059874807,#N/A
233148-1-1-103,4/4/2025 0:00,Order,310015,WA003,,,102,9999A,3/24/2025 0:00,0.019958269,#N/A
233139-1-1-101,4/5/2025 0:00,Order,310015,ID002,,,102,9999A,3/24/2025 0:00,14.99990928,#N/A
233148-1-1-101,4/5/2025 0:00,Order,310015,WA003,,,102,9999A,3/24/2025 0:00,14.99990928,#N/A
233148-1-1-102,4/5/2025 0:00,Order,310015,WA003,,,102,9999A,3/24/2025 0:00,14.94003447,#N/A
233148-1-1-103,4/5/2025 0:00,Order,310015,WA003,,,102,9999A,3/24/2025 0:00,14.97995101,#N/A
233148-1-1-104,4/5/2025 0:00,Order,310015,WA003,,,102,9999A,3/24/2025 0:00,14.99990928,#N/A
233148-1-1-105,4/5/2025 0:00,Order,310015,WA003,,,102,9999A,3/24/2025 0:00,14.99990928,#N/A
233200-1-1-101,4/7/2025 0:00,Order,310015,ID002,,,102,9999A,3/31/2025 0:00,0.039916538,#N/A
233200-1-1-102,4/7/2025 0:00,Order,310015,ID002,,,102,9999A,3/31/2025 0:00,0.039916538,#N/A
233200-1-1-103,4/7/2025 0:00,Order,310015,ID002,,,102,9999A,3/31/2025 0:00,0.100154223,#N/A
233200-1-1-104,4/7/2025 0:00,Order,310015,ID002,,,102,9999A,3/31/2025 0:00,0.059874807,#N/A
233200-1-1-105,4/7/2025 0:00,Order,310015,ID002,,,102,9999A,3/31/2025 0:00,0.019958269,#N/A
10014900,4/8/2025 0:00,Order,310015,ID002,,,101,,4/8/2025 0:00,1.979860292,#N/A
232701-1-4-113,4/8/2025 0:00,Order,310015,ID002,,,102,9999A,2/19/2025 0:00,14.99990928,#N/A
232743-1-4-106,4/8/2025 0:00,Order,310015,WA001,,,102,9999A,3/27/2025 0:00,14.99990928,#N/A
233105-1-1-101,4/8/2025 0:00,Order,310086,ID002,,,102,3139A,3/14/2025 0:00,19,#N/A
233105-1-1-102,4/8/2025 0:00,Order,310086,ID002,,,102,3139A,3/14/2025 0:00,19,#N/A
233200-1-1-101,4/8/2025 0:00,Order,310015,ID002,,,102,9999A,3/31/2025 0:00,15.96008346,#N/A
233200-1-1-102,4/8/2025 0:00,Order,310015,ID002,,,102,9999A,3/31/2025 0:00,15.96008346,#N/A
233200-1-1-103,4/8/2025 0:00,Order,310015,ID002,,,102,9999A,3/31/2025 0:00,15.89984578,#N/A
233200-1-1-104,4/8/2025 0:00,Order,310015,ID002,,,102,9999A,3/31/2025 0:00,15.94012519,#N/A
233200-1-1-105,4/8/2025 0:00,Order,310015,ID002,,,102,9999A,3/31/2025 0:00,15.98004173,#N/A
233261-1-1-121,4/8/2025 0:00,Order,310015,WA001,,,102,9999A,4/7/2025 0:00,14.99990928,#N/A
233261-1-1-122,4/8/2025 0:00,Order,310015,WA001,,,102,9999A,4/7/2025 0:00,14.99990928,#N/A
233261-1-1-123,4/8/2025 0:00,Order,310015,WA001,,,102,9999A,4/7/2025 0:00,14.99990928,#N/A
233261-1-1-124,4/8/2025 0:00,Order,310015,WA001,,,102,9999A,4/7/2025 0:00,14.99990928,#N/A
233261-1-1-125,4/8/2025 0:00,Order,310015,WA001,,,102,9999A,4/7/2025 0:00,14.99990928,#N/A
233261-1-1-126,4/8/2025 0:00,Order,310015,WA001,,,102,9999A,4/7/2025 0:00,14.99990928,#N/A
233261-1-1-127,4/8/2025 0:00,Order,310015,WA001,,,102,9999A,4/7/2025 0:00,14.99990928,#N/A
233261-1-1-128,4/8/2025 0:00,Order,310015,WA001,,,102,9999A,4/7/2025 0:00,14.99990928,#N/A
233261-1-1-129,4/8/2025 0:00,Order,310015,WA001,,,102,9999A,4/7/2025 0:00,14.99990928,#N/A
233261-1-1-130,4/8/2025 0:00,Order,310015,WA001,,,102,9999A,4/7/2025 0:00,14.99990928,#N/A
233159-1-1-103,4/10/2025 0:00,Order,310724,WA002,,,101,9999E,3/27/2025 0:00,20,#N/A
233207-1-1-101,4/10/2025 0:00,Order,310015,ID002,,,102,9999A,3/31/2025 0:00,120,#N/A
233209-1-1-115,4/10/2025 0:00,Order,310015,WA001,,,102,9999A,3/31/2025 0:00,0.059874807,#N/A
233210-1-1-101,4/10/2025 0:00,Order,310015,ID002,,,102,9999A,4/1/2025 0:00,0.019958269,#N/A
233273-1-1-101,4/10/2025 0:00,Order,310015,ID002,,,102,9999A,4/8/2025 0:00,15.8200127,#N/A
233156-1-1-102,4/11/2025 0:00,Order,310015,WA001,,,102,9999A,3/25/2025 0:00,14.99990928,#N/A
233207-1-1-102,4/11/2025 0:00,Order,310015,ID002,,,102,9999A,3/31/2025 0:00,120,#N/A
233209-1-1-101,4/11/2025 0:00,Order,310015,WA001,,,102,9999A,3/31/2025 0:00,14.99990928,#N/A
233209-1-1-102,4/11/2025 0:00,Order,310015,WA001,,,102,9999A,3/31/2025 0:00,14.99990928,#N/A
